City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
347,Niksic,ME,84.2,clear sky,42.77,18.94,Hotel Trebjesa
350,Cerrito,CO,78.8,moderate rain,6.84,-72.69,Finca Lulu
353,Sinjar,IQ,84.31,clear sky,36.32,41.88,زوماني فون 1
355,Cabo San Lucas,MX,89.6,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
360,Gizo,SB,82.69,light rain,-8.1,156.84,Imagination Island
362,Jipijapa,EC,86.0,scattered clouds,-1.33,-80.58,Los Ceibos Internacional
363,Boone,US,79.0,clear sky,39.03,-92.33,Cottonwoods RV Park
364,Hirara,JP,82.94,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
365,Guaira,BR,85.66,clear sky,-20.32,-48.31,Hotel do Lago
380,Gushikawa,JP,80.6,overcast clouds,26.35,127.87,Kirari Guest House
381,Kahului,US,87.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
383,Durres,AL,75.2,broken clouds,41.32,19.44,Palace Hotel & Spa Durres
391,Kieta,PG,80.73,light rain,-6.22,155.63,
394,Denpasar,ID,75.2,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
400,Iracoubo,GF,82.35,few clouds,5.48,-53.2,Le Gite D Iracoubo
401,Sur,OM,81.23,overcast clouds,22.57,59.53,Sur Plaza Hotel
406,Terre Haute,US,81.0,clear sky,39.47,-87.41,Drury Inn & Suites Terre Haute
407,Qui Nhon,VN,78.51,broken clouds,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
409,Dahra,DZ,82.4,clear sky,36.25,0.85,Ein Mtabol
410,Balancan,MX,88.97,scattered clouds,17.8,-91.53,Hotel Balam Ku
414,Kirakira,SB,81.32,overcast clouds,-10.45,161.92,SanBiz Lodge
420,Kathu,TH,84.0,few clouds,7.92,98.33,Novotel Phuket Resort
421,Soure,BR,81.84,overcast clouds,-0.72,-48.52,Hotel Marajó
427,Rock Springs,US,75.2,clear sky,41.59,-109.2,Homewood Suites by Hilton Rock Springs
446,Auki,SB,80.85,overcast clouds,-8.77,160.7,Auki Motel
451,Andros Town,BS,86.0,few clouds,24.7,-77.77,Hanks place
453,Jacksonville,US,86.0,broken clouds,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
459,Maumere,ID,75.78,broken clouds,-8.62,122.21,Sylvia Hotel
461,Kilindoni,TZ,77.2,few clouds,-7.91,39.67,Bustani B&B
462,Springdale,US,82.0,scattered clouds,36.19,-94.13,Springdale Inn
465,Qrendi,MT,75.99,overcast clouds,35.83,14.46,Ta' Bertu Host Family Bed & Breakfast
467,Zaranj,AF,77.0,clear sky,30.97,61.88,غزنوی هوتل
468,Amapa,BR,82.42,overcast clouds,1.0,-52.0,
470,Riverton,US,89.01,clear sky,40.52,-111.94,Ramada by Wyndham Draper
475,Kamina,CD,77.77,broken clouds,-8.74,24.99,Guest House la Grace
478,Vanimo,PG,78.22,moderate rain,-2.67,141.3,Vahmoneh Lodge Vanimo
482,Lewisville,US,89.01,broken clouds,33.05,-96.99,Best Western Dallas-Lewisville Hotel
484,Inhuma,BR,82.9,broken clouds,-6.67,-41.71,Yonahanakbar
485,Poitiers,FR,77.0,clear sky,46.58,0.33,ibis Poitiers Centre
488,The Valley,AI,89.6,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
490,Cayenne,GF,87.8,few clouds,4.93,-52.33,Hôtel Le Dronmi
492,Gwadar,PK,84.69,broken clouds,25.12,62.33,Sadaf Resort
500,Posse,BR,76.05,broken clouds,-14.09,-46.37,Pousada das Palmeiras
501,Nata,PA,87.8,broken clouds,8.33,-80.52,Cabañas Estancia Bayamon
504,Eyl,SO,78.13,few clouds,7.98,49.82,Amiin Hotel
505,Salinopolis,BR,81.07,overcast clouds,-0.61,-47.36,Hotel Salinópolis
506,Pasighat,IN,75.61,overcast clouds,28.07,95.33,Siang Guest House
